,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
126,LADR,Ladder Capital Corp,1.37B,1.85%,498655,264.21M
127,CMTG,"Claros Mortgage Trust, Inc.",1.31B,3.82%,358908,306.55M
128,TWO,Two Harbors Investment Corp.,1.31B,0.95%,3420710,31.79M
129,MMI,"Marcus & Millichap, Inc.",1.29B,-0.84%,338019,645.93M
130,BFS,"Saul Centers, Inc.",1.25B,-0.89%,159530,257.21M
131,NTST,NETSTREIT Corp.,1.24B,1.24%,592778,131.91M
132,PMT,PennyMac Mortgage Investment Trust,1.23B,0.43%,857478,429.02M
133,ELME,Elme Communities,1.18B,-,719234,227.91M
134,DEA,"Easterly Government Properties, Inc.",1.17B,0.71%,987435,287.23M
135,AHR,"American Healthcare REIT, Inc.",1.17B,-1.52%,2027086,1.84B
136,ALEX,"Alexander & Baldwin, Inc.",1.16B,0.25%,331723,208.90M
137,MFA,"MFA Financial, Inc.",1.14B,1.52%,593351,248.45M
138,KW,"Kennedy-Wilson Holdings, Inc.",1.14B,4.23%,1847457,562.60M
139,UMH,"UMH Properties, Inc.",1.11B,-0.64%,576355,220.93M
140,PGRE,"Paramount Group, Inc.",1.08B,0.66%,871406,742.79M
141,AIV,Apartment Investment and Management Company,1.07B,0.40%,963210,187.00M
142,ALX,"Alexander's, Inc.",1.07B,-1.64%,22726,224.96M
143,FBRT,"Franklin BSP Realty Trust, Inc.",1.06B,2.47%,507344,263.95M
144,CIM,Chimera Investment Corporation,1.06B,2.73%,4507563,252.64M
145,SVC,Service Properties Trust,1.06B,1.88%,6257516,1.87B
146,PLYM,"Plymouth Industrial REIT, Inc.",986.25M,-0.60%,347328,199.85M
147,EFC,Ellington Financial Inc.,970.61M,1.33%,866191,276.92M
148,ARR,"ARMOUR Residential REIT, Inc.",913.52M,0.32%,1096638,-86.22M
149,HPP,"Hudson Pacific Properties, Inc.",911.01M,1.75%,1808932,952.30M
150,AHH,"Armada Hoffler Properties, Inc.",908.99M,1.36%,443830,667.16M
151,CSR,Centerspace,883.88M,1.01%,107810,261.31M
152,BRSP,"BrightSpire Capital, Inc.",872.20M,2.38%,1257443,232.72M
153,RWT,"Redwood Trust, Inc.",814.46M,-0.33%,2997599,165.63M
154,PDM,"Piedmont Office Realty Trust, Inc.",797.28M,0.80%,765515,577.76M
155,BDN,Brandywine Realty Trust,772.23M,-,2744653,514.65M
156,RDFN,Redfin Corporation,753.61M,-4.91%,10015124,976.67M
157,CHCT,Community Healthcare Trust Incorporated,727.60M,1.18%,463607,112.85M
158,DX,"Dynex Capital, Inc.",721.85M,1.22%,1377902,26.75M
159,CBL,"CBL & Associates Properties, Inc.",711.31M,-0.18%,233874,535.29M
160,KREF,KKR Real Estate Finance Trust Inc.,687.59M,1.91%,601930,202.81M
161,INN,"Summit Hotel Properties, Inc.",678.91M,-1.74%,747123,736.13M
162,HOUS,Anywhere Real Estate Inc.,652.99M,-11.68%,4583031,5.64B
163,NYMT,"New York Mortgage Trust, Inc.",647.77M,1.55%,1532121,198.87M
164,GMRE,Global Medical REIT Inc.,612.59M,0.69%,599496,141.05M
165,WSR,Whitestone REIT,612.39M,-1.32%,255493,146.97M
166,DHC,Diversified Healthcare Trust,605.85M,-3.16%,7330466,1.41B
167,TRTX,"TPG RE Finance Trust, Inc.",598.81M,-0.26%,1451334,116.39M
168,REAX,The Real Brokerage Inc.,590.85M,-5.30%,604424,689.16M
169,FRPH,"FRP Holdings, Inc.",582.62M,0.96%,36063,41.25M
170,PGRU,PropertyGuru Limited,576.72M,1.69%,9838,113.74M
171,GOOD,Gladstone Commercial Corporation,538.57M,-0.08%,392604,147.58M
172,FPI,Farmland Partners Inc.,530.23M,0.28%,238261,57.47M
173,UHT,Universal Health Realty Income Trust,514.26M,-3.11%,862545,95.58M
174,CLDT,Chatham Lodging Trust,510.47M,-0.69%,222188,311.11M
175,SRG,Seritage Growth Properties,504.83M,-1.86%,351864,34.56M
176,OLP,"One Liberty Properties, Inc.",476.08M,1.76%,62799,90.65M
177,LAND,Gladstone Land Corporation,467.12M,0.46%,246995,90.40M
178,FPH,"Five Point Holdings, LLC",460.28M,0.32%,27563,211.73M
179,LSEA,Landsea Homes Corporation,454.59M,-0.16%,288929,1.21B
180,IVR,Invesco Mortgage Capital Inc.,440.02M,1.10%,643744,3.87M
181,ORC,"Orchid Island Capital, Inc.",439.16M,0.70%,822474,-20.70M
182,STRW,Strawberry Fields REIT LLC,411.81M,-0.50%,1713,97.90M
183,ACRE,Ares Commercial Real Estate Corporation,410.89M,2.12%,1205927,92.93M
184,MLP,"Maui Land & Pineapple Company, Inc.",406.02M,2.61%,46204,9.05M
185,PSTL,"Postal Realty Trust, Inc.",388.24M,0.29%,75746,63.71M
186,RMR,The RMR Group Inc.,387.64M,-,287097,973.25M
187,CTO,"CTO Realty Growth, Inc.",376.11M,1.15%,205459,109.12M
188,TCI,"Transcontinental Realty Investors, Inc.",341.47M,-5.58%,9995,49.24M
189,NLOP,Net Lease Office Properties,332.04M,-3.04%,208580,174.97M
190,ARL,"American Realty Investors, Inc.",314.16M,-7.46%,6680,49.76M
191,NREF,"NexPoint Real Estate Finance, Inc.",292.44M,2.40%,90854,28.68M
192,REFI,"Chicago Atlantic Real Estate Finance, Inc.",290.25M,1.63%,151289,57.15M
193,BRT,BRT Apartments Corp.,273.38M,4.33%,56363,93.62M
194,FLJ,FLJ Group Limited,257.96M,2.78%,21475,-
195,AOMR,"Angel Oak Mortgage, Inc.",256.89M,2.33%,55495,17.01M
196,AFCG,"AFC Gamma, Inc.",252.55M,1.54%,189979,64.18M
197,NEN,New England Realty Associates LP,252.23M,-,100,72.46M
198,RMAX,"RE/MAX Holdings, Inc.",251.62M,-3.08%,944796,325.67M
199,ILPT,Industrial Logistics Properties Trust,251.52M,1.57%,740912,437.34M
200,GPMT,Granite Point Mortgage Trust Inc.,238.22M,1.70%,722679,-19.81M
201,PINE,"Alpine Income Property Trust, Inc.",227.08M,0.07%,79365,45.64M
202,FSP,Franklin Street Properties Corp.,226.51M,-0.91%,837039,145.71M
203,OPAD,Offerpad Solutions Inc.,225.37M,-1.94%,65525,1.31B
204,OZ,"Belpointe PREP, LLC",217.89M,-0.25%,2621,2.16M
205,CLPR,Clipper Realty Inc.,200.88M,3.81%,158915,136.35M
206,SACH,Sachem Capital Corp.,192.76M,0.71%,338494,64.59M
207,ONL,Orion Office REIT Inc.,190.78M,1.75%,348980,195.04M
208,SEVN,Seven Hills Realty Trust,190.47M,-,63385,34.51M
209,SDHC,Smith Douglas Homes Corp.,184.08M,3.08%,172273,755.35M
210,DOUG,Douglas Elliman Inc.,180.32M,-13.71%,5327528,955.58M
211,STRS,Stratus Properties Inc.,180.23M,-2.22%,17805,26.30M
212,MITT,"AG Mortgage Investment Trust, Inc.",171.71M,-0.51%,319744,93.85M
213,CIO,"City Office REIT, Inc.",167.44M,-,366666,179.10M
214,BHR,Braemar Hotels & Resorts Inc.,164.57M,-4.15%,670332,739.34M
215,STHO,Star Holdings,155.44M,1.71%,835083,123.05M
216,MDV,Modiv Inc.,145.76M,0.50%,42396,46.94M
217,AXR,AMREP Corporation,126.78M,1.29%,5016,44.53M
218,EARN,Ellington Residential Mortgage REIT,124.96M,1.27%,195738,-2.71M
219,LFT,"Lument Finance Trust, Inc.",115.95M,-0.45%,58446,28.01M
220,CHMI,Cherry Hill Mortgage Investment Corporation,102.21M,3.00%,306545,-21.20M
221,AJX,Great Ajax Corp.,99.68M,-0.28%,578480,-17.07M
222,OPI,Office Properties Income Trust,95.56M,3.57%,3867507,533.55M
223,MAYS,"J.W. Mays, Inc.",88.69M,0.39%,136,21.71M
224,ACR,ACRES Commercial Realty Corp.,86.86M,2.14%,82809,91.13M
225,CMCT,Creative Media & Community Trust Corporation,83.40M,3.02%,26251,115.66M
226,ASPS,Altisource Portfolio Solutions S.A.,67.22M,3.95%,104689,145.07M
227,AIRE,reAlpha Tech Corp.,60.89M,1.47%,806450,-
228,DOMA,Doma Holdings Inc.,58.97M,-4.82%,11930,335.84M
229,AHT,"Ashford Hospitality Trust, Inc.",57.52M,1.47%,1538210,1.37B
230,SOHO,Sotherly Hotels Inc.,55.26M,-,26992,173.03M
231,LOAN,"Manhattan Bridge Capital, Inc.",53.65M,0.63%,22320,9.80M
232,LRE,"Lead Real Estate Co., Ltd",51.29M,1.08%,1948,117.22M
233,WETH,Wetouch Technology Inc.,49.95M,-0.44%,313830,39.88M
234,SELF,"Global Self Storage, Inc.",46.41M,2.62%,76999,12.27M
235,LODE,Comstock Inc.,46.33M,-1.75%,485142,1.27M
236,CHCI,"Comstock Holding Companies, Inc.",44.88M,-1.27%,1922,43.01M
237,FTHM,Fathom Holdings Inc.,43.44M,-15.45%,228399,354.59M
238,RFL,"Rafael Holdings, Inc.",42.15M,0.58%,18699,275.00K
239,LRHC,La Rosa Holding Corp.,25.25M,2.87%,14428,26.32M
240,OMH,Ohmyhome Limited,23.23M,-,115890,4.34M
241,GIPR,"Generation Income Properties, Inc.",20.54M,-1.58%,37052,5.91M
242,LEJU,Leju Holdings Limited,18.33M,-0.38%,2287,332.27M
243,GYRO,"Gyrodyne, LLC",18.21M,-,2,-
244,NYC,American Strategic Investment Co,16.76M,4.98%,1600,63.53M
245,SQFT,"Presidio Property Trust, Inc.",16.30M,-,20438,17.63M
246,XIN,"Xinyuan Real Estate Co., Ltd.",15.92M,-,2047,754.13M
247,MDJH,MDJM Ltd,14.19M,11.40%,3505,29.45K
248,IHT,InnSuites Hospitality Trust,13.78M,-3.38%,553,7.39M
249,MDRR,"Medalist Diversified REIT, Inc.",13.42M,3.20%,10368,10.27M
250,AEI,Alset EHome International Inc.,12.61M,-8.29%,82666,21.95M
251,WHLR,"Wheeler Real Estate Investment Trust, Inc.",11.91M,-8.63%,317965,102.33M
252,SGD,Safe and Green Development Corporation,10.77M,-6.91%,456443,-
253,TPHS,Trinity Place Holdings Inc.,8.26M,-36.22%,825481,42.33M
254,GBR,"New Concept Energy, Inc.",5.23M,1.96%,8880,172.00K
255,GGE,Green Giant Inc.,4.75M,3.04%,4032482,1.80M
256,ALBT,Avalon GloboCare Corp.,4.17M,-6.22%,78558,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",4.15M,-11.39%,64503,1.99M
258,DUO,Fangdd Network Group Ltd.,2.31M,-8.52%,361365,35.17M
259,PW,Power REIT,2.03M,-0.05%,6757,4.00M
260,UK,Ucommune International Ltd,1.83M,-2.85%,112909,87.50M
