,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
219,GLT,Glatfelter Corporation,83.97M,-4.84%,1072040,1.39B
220,FEAM,5E Advanced Materials Inc.,81.64M,2.33%,555118,-
221,ORGN,"Origin Materials, Inc.",75.48M,6.10%,2089765,28.81M
222,ASM,Avino Silver & Gold Mines Ltd.,71.43M,5.14%,676976,46.01M
223,ITRG,Integra Resources Corp.,69.31M,-3.52%,82677,-
224,USGO,U.S. GoldMining Inc.,63.23M,0.98%,3253,-
225,FURY,Fury Gold Mines Limited,60.04M,1.06%,380036,-
226,VGZ,Vista Gold Corp.,57.82M,6.41%,723204,-
227,HYMC,Hycroft Mining Holding Corporation,48.11M,6.87%,144244,-
228,HGAS,Global Gas Corporation,46.80M,-24.64%,110773,-
229,USAS,Americas Gold and Silver Corporation,45.87M,-6.01%,14298729,84.89M
230,CGA,"China Green Agriculture, Inc.",43.67M,-2.85%,1111,112.20M
231,BHIL,"Benson Hill, Inc.",40.43M,10.82%,1777884,404.61M
232,HUDI,"Huadi International Group Co., Ltd.",38.50M,4.46%,26172,84.33M
233,XPL,Solitario Zinc Corp.,38.25M,-5.21%,386011,-
234,EVA,Enviva Inc.,34.31M,-16.17%,6227593,1.13B
235,USAU,U.S. Gold Corp.,33.88M,-3.26%,29819,-
236,GORO,Gold Resource Corporation,31.42M,8.41%,813756,108.96M
237,ELBM,Electra Battery Materials Corporation,29.08M,-3.85%,127434,-
238,BYU,"BAIYU Holdings, Inc.",27.07M,-,20464,120.11M
239,UAMY,United States Antimony Corporation,26.37M,-3.27%,107997,8.45M
240,WWR,"Westwater Resources, Inc.",25.77M,0.02%,186003,-
241,FSI,"Flexible Solutions International, Inc.",23.63M,3.16%,8898,41.11M
242,PZG,Paramount Gold Nevada Corp.,23.17M,5.74%,163336,-
243,ZKIN,"ZK International Group Co., Ltd.",20.71M,-5.12%,13632,109.16M
244,GRFX,Graphex Group Limited,20.21M,-2.26%,9400,42.01M
245,AAU,Almaden Minerals Ltd.,19.54M,-0.78%,134073,-
246,SEED,Origin Agritech Limited,19.39M,-3.91%,43413,12.83M
247,INHD,Inno Holdings Inc.,19.11M,-3.08%,24043,657.36K
248,JCTCF,Jewett-Cameron Trading Company Ltd.,18.79M,-5.13%,1718,51.52M
249,LITM,Snow Lake Resources Ltd.,18.29M,-0.83%,61534,-
250,AUST,Austin Gold Corp.,17.92M,-1.48%,399485,-
251,HLP,Hongli Group Inc.,16.45M,-9.02%,26473,18.71M
252,GURE,"Gulf Resources, Inc.",13.14M,-1.60%,9903,41.76M
253,RETO,"ReTo Eco-Solutions, Inc.",7.42M,-3.11%,37260,4.82M
254,CNEY,CN Energy Group. Inc.,5.73M,-2.54%,25628,57.90M
255,AUMN,Golden Minerals Company,4.56M,-2.78%,354542,16.29M
256,SNES,"SenesTech, Inc.",4.25M,-3.91%,93498,1.19M
257,SVFD,"Save Foods, Inc.",4.17M,-,31128,381.68K
258,YTEN,"Yield10 Bioscience, Inc.",3.22M,-3.94%,185312,147.00K
259,ITP,"IT Tech Packaging, Inc.",3.12M,-6.67%,21841,86.96M
260,RKDA,"Arcadia Biosciences, Inc.",2.81M,-0.39%,2412,5.50M
261,CRKN,Crown ElectroKinetics Corp.,1.96M,-6.81%,3318005,59.00K
