,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
255,FULT,Fulton Financial Corporation,2.40B,0.81%,1914451,1.03B
256,BOH,Bank of Hawaii Corporation,2.36B,-0.17%,791150,664.63M
257,CVBF,CVB Financial Corp.,2.33B,-,2361734,545.32M
258,CBU,"Community Bank System, Inc.",2.33B,1.92%,755263,640.92M
259,PSEC,Prospect Capital Corporation,2.29B,0.91%,2252167,883.81M
260,EBC,"Eastern Bankshares, Inc.",2.29B,3.68%,5854855,292.60M
261,SFNC,Simmons First National Corporation,2.26B,1.88%,1234721,763.66M
262,WAFD,WaFd Inc,2.23B,0.45%,938164,673.02M
263,BANC,"Banc of California, Inc.",2.23B,-1.76%,7784808,246.84M
264,PAX,Patria Investments Limited,2.16B,-,455714,307.16M
265,PPBI,"Pacific Premier Bancorp, Inc.",2.12B,2.12%,2290921,440.99M
266,SNEX,StoneX Group Inc.,2.09B,0.37%,216948,67.42B
267,INDB,Independent Bank Corp.,2.08B,2.02%,1199641,707.88M
268,SPNT,SiriusPoint Ltd.,2.06B,0.90%,479299,2.74B
269,PRK,Park National Corporation,2.06B,0.67%,142766,462.84M
270,PLMR,"Palomar Holdings, Inc.",2.06B,-1.00%,336677,375.93M
271,UPST,"Upstart Holdings, Inc.",2.01B,1.63%,3755763,513.56M
272,SBCF,Seacoast Banking Corporation of Florida,2.00B,1.57%,1356815,529.87M
273,FFBC,First Financial Bancorp.,2.00B,1.47%,865846,797.09M
274,AGM.A,Federal Agricultural Mortgage Corporation,1.96B,12.14%,296,350.20M
275,AGM,Federal Agricultural Mortgage Corporation,1.95B,1.79%,120815,350.20M
276,BKU,"BankUnited, Inc.",1.95B,1.07%,684359,873.04M
277,HTH,Hilltop Holdings Inc.,1.95B,0.57%,251887,1.18B
278,TOWN,TowneBank,1.94B,2.39%,627461,770.52M
279,FRME,First Merchants Corporation,1.94B,0.28%,749631,647.50M
280,BBAR,BBVA Argentina,1.92B,3.57%,823772,972.00M
281,BRP,"BRP Group, Inc.",1.91B,-0.48%,437174,1.22B
282,TSLX,"Sixth Street Specialty Lending, Inc.",1.90B,1.02%,323512,438.09M
283,NAVI,Navient Corporation,1.87B,0.85%,1977645,1.15B
284,BFH,"Bread Financial Holdings, Inc.",1.86B,-1.09%,1057688,3.06B
285,DFIN,"Donnelley Financial Solutions, Inc.",1.84B,-1.13%,269472,797.20M
286,TBBK,"The Bancorp, Inc.",1.81B,0.09%,2341090,447.82M
287,IBTX,"Independent Bank Group, Inc.",1.78B,-0.73%,416172,503.86M
288,TFIN,"Triumph Financial, Inc.",1.77B,0.01%,219190,406.05M
289,NWLI,"National Western Life Group, Inc.",1.77B,-0.09%,19614,703.35M
290,MBIN,Merchants Bancorp,1.76B,-2.00%,287924,522.51M
291,ENVA,"Enova International, Inc.",1.72B,-0.99%,293348,1.23B
292,LOB,"Live Oak Bancshares, Inc.",1.70B,0.82%,157477,405.72M
293,OFG,OFG Bancorp,1.70B,0.23%,329435,628.61M
294,GSBD,"Goldman Sachs BDC, Inc.",1.67B,1.00%,1614310,454.91M
295,WSBC,"WesBanco, Inc.",1.66B,0.97%,1407212,584.05M
296,VRTS,"Virtus Investment Partners, Inc.",1.66B,-1.14%,56967,845.27M
297,PUYI,Highest Performances Holdings Inc.,1.65B,25.56%,7452,15.81M
298,CLBK,"Columbia Financial, Inc.",1.65B,1.34%,178610,228.47M
299,BBUC,Brookfield Business Corporation,1.65B,-0.89%,65736,7.68B
300,STC,Stewart Information Services Corporation,1.64B,1.30%,339429,2.21B
301,LKFN,Lakeland Financial Corporation,1.63B,-0.57%,915177,241.04M
302,RNST,Renasant Corporation,1.63B,0.73%,362631,616.81M
303,FBK,FB Financial Corporation,1.62B,1.19%,114928,475.22M
304,GCMG,GCM Grosvenor Inc,1.62B,1.94%,369650,445.00M
305,NBTB,NBT Bancorp Inc.,1.57B,2.26%,615603,495.12M
306,TRMK,Trustmark Corporation,1.56B,1.57%,707296,735.26M
307,BANR,Banner Corporation,1.55B,1.16%,617446,609.63M
308,CUBI,"Customers Bancorp, Inc.",1.53B,1.87%,343814,683.40M
309,OCSL,Oaktree Specialty Lending Corporation,1.51B,0.52%,684936,398.09M
310,FIHL,Fidelis Insurance Holdings Limited,1.50B,1.41%,850893,3.60B
311,DWAC,Digital World Acquisition Corp.,1.50B,-5.11%,764209,-
312,CHCO,City Holding Company,1.48B,0.65%,194988,286.63M
313,EFSC,Enterprise Financial Services Corp,1.44B,1.52%,261023,594.71M
314,FINV,FinVolution Group,1.43B,-2.51%,1090981,1.70B
315,NWBI,"Northwest Bancshares, Inc.",1.42B,1.47%,5258309,526.63M
316,HMN,Horace Mann Educators Corporation,1.42B,1.56%,168170,1.49B
317,SKWD,"Skyward Specialty Insurance Group, Inc.",1.41B,1.36%,890704,827.04M
318,HTLF,"Heartland Financial USA, Inc.",1.39B,1.20%,1731265,558.60M
319,FBNC,First Bancorp,1.37B,2.07%,301785,386.34M
