,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
217,GSUN,Golden Sun Education Group Limited,10.17M,12.38%,14014,6.16M
218,GV,Visionary Education Technology Holdings Group Inc.,9.45M,-,45719,8.43M
219,AQB,"AquaBounty Technologies, Inc.",8.42M,3.35%,33472,2.37M
220,WAFU,Wah Fu Education Group Limited,8.20M,-2.07%,19280,10.69M
221,JVA,"Coffee Holding Co., Inc.",7.54M,4.96%,8515,68.17M
222,BOF,BranchOut Food Inc.,7.36M,19.47%,14855,1.37M
223,LQR,LQR House Inc.,7.01M,-2.48%,88901,880.44K
224,BTCT,BTC Digital Ltd.,6.76M,-2.15%,10095,-20.57M
225,BON,Bon Natural Life Limited,6.22M,3.17%,90644,29.52M
226,KAVL,"Kaival Brands Innovations Group, Inc.",5.98M,-2.38%,36527,13.09M
227,XXII,"22nd Century Group, Inc.",5.81M,-7.30%,992142,82.41M
228,FAMI,"Farmmi, Inc.",5.65M,-1.24%,100417,110.36M
229,BRSH,Bruush Oral Care Inc.,5.30M,2.48%,1092805,-
230,BTTR,Better Choice Company Inc.,4.93M,0.74%,473535,42.16M
231,AMBO,Ambow Education Holding Ltd.,4.85M,3.80%,7229,14.68M
232,SNAX,"Stryve Foods, Inc.",3.42M,-,23536,20.23M
233,CLEU,China Liberal Education Holdings Limited,3.01M,13.52%,65816,17.89M
234,TANH,Tantech Holdings Ltd,2.53M,3.13%,23990,46.21M
235,EDBL,Edible Garden AG Incorporated,2.10M,-8.92%,129922,13.04M
236,BSFC,Blue Star Foods Corp.,1.91M,-0.91%,907438,7.17M
237,EAST,"Eastside Distilling, Inc.",1.91M,-4.10%,153348,10.81M
238,NUZE,"NuZee, Inc.",1.87M,-,1387,3.35M
239,GNLN,"Greenlane Holdings, Inc.",1.74M,-4.26%,19936,77.34M
240,AGRI,AgriFORCE Growing Systems Ltd.,774.95K,3.72%,1254365,-
