,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
133,LSCC,Lattice Semiconductor Corporation,10.52B,-1.11%,2475742,737.15M
134,DAY,Dayforce Inc,10.52B,-2.29%,1410043,1.51B
135,MNDY,monday.com Ltd.,10.50B,-0.27%,884670,729.70M
136,OTEX,Open Text Corporation,10.46B,-0.72%,577630,5.70B
137,ESTC,Elastic N.V.,10.39B,-1.92%,1111358,1.21B
138,AFRM,"Affirm Holdings, Inc.",10.33B,0.87%,6919674,1.91B
139,INFA,Informatica Inc.,10.00B,1.03%,1311568,1.60B
140,U,Unity Software Inc.,9.98B,0.35%,6930357,2.19B
141,CFLT,"Confluent, Inc.",9.88B,-0.87%,4474315,776.95M
142,DUOL,"Duolingo, Inc.",9.79B,-5.21%,624753,531.11M
143,WEX,WEX Inc.,9.76B,-0.75%,170254,2.55B
144,GWRE,"Guidewire Software, Inc.",9.54B,-1.59%,379176,925.75M
145,PCTY,Paylocity Holding Corporation,9.43B,-0.50%,744854,1.29B
146,GLOB,Globant S.A.,9.29B,0.53%,493586,2.10B
147,SNX,TD SYNNEX Corporation,9.05B,0.40%,452050,57.56B
148,COHR,"Coherent, Inc.",9.03B,-1.62%,3295089,4.63B
149,GTLB,GitLab Inc.,8.63B,-2.46%,4327977,579.91M
150,ONTO,Onto Innovation Inc.,8.60B,0.24%,392877,815.87M
151,NXT,Nextracker Inc.,8.55B,0.66%,6669111,2.28B
152,DBX,"Dropbox, Inc.",8.32B,-1.57%,8605981,2.50B
153,CACI,CACI International Inc,8.29B,0.17%,212922,7.13B
154,MKSI,"MKS Instruments, Inc.",8.22B,-1.13%,1053851,3.62B
155,APPF,"AppFolio, Inc.",7.99B,-0.65%,185310,620.45M
156,DLB,"Dolby Laboratories, Inc.",7.98B,0.43%,528518,1.28B
157,DSGX,The Descartes Systems Group Inc.,7.94B,-0.51%,194273,572.93M
158,WIX,Wix.com Ltd.,7.91B,-2.02%,517417,1.56B
159,AMKR,"Amkor Technology, Inc.",7.74B,-0.67%,1743091,6.50B
160,OLED,Universal Display Corporation,7.58B,-0.20%,502645,576.43M
161,YMM,Full Truck Alliance Co. Ltd.,7.45B,-2.99%,12241531,1.19B
162,SAIC,Science Applications International Corporation,7.45B,-0.38%,834290,7.68B
163,CCCS,CCC Intelligent Solutions Holdings Inc.,7.33B,-2.64%,8620006,866.38M
164,CIEN,Ciena Corporation,7.26B,-0.42%,2215055,4.37B
165,FN,Fabrinet,7.19B,1.05%,398044,2.72B
166,LYFT,"Lyft, Inc.",7.12B,-3.26%,12003654,4.40B
167,CGNX,Cognex Corporation,6.98B,0.12%,1810720,837.55M
168,S,"SentinelOne, Inc.",6.96B,-5.15%,15828106,621.15M
169,BILL,BILL Holdings Inc,6.79B,-0.23%,1423898,1.19B
170,SPSC,"SPS Commerce, Inc.",6.78B,-0.33%,413281,536.91M
171,ALTR,Altair Engineering Inc.,6.72B,-3.13%,589850,612.70M
172,VNT,Vontier Corporation,6.66B,1.10%,784097,3.10B
173,RMBS,Rambus Inc.,6.62B,-0.72%,2103972,461.12M
174,UI,Ubiquiti Inc.,6.61B,1.36%,81773,1.88B
175,FOUR,"Shift4 Payments, Inc.",6.58B,1.57%,1092207,2.56B
176,ARW,"Arrow Electronics, Inc.",6.56B,-1.22%,1222699,33.11B
177,MTSI,"MACOM Technology Solutions Holdings, Inc.",6.48B,-0.49%,802855,625.45M
178,KVYO,"Klaviyo, Inc.",6.38B,-0.71%,4517640,698.10M
179,NOVT,Novanta Inc.,6.25B,1.51%,304400,881.66M
180,QLYS,"Qualys, Inc.",6.13B,-0.60%,1209046,554.46M
181,G,Genpact Limited,6.03B,-0.81%,1385606,4.48B
182,NSIT,"Insight Enterprises, Inc.",6.01B,0.83%,533425,9.18B
183,LFUS,"Littelfuse, Inc.",5.75B,0.47%,302132,2.36B
184,DV,"DoubleVerify Holdings, Inc.",5.63B,0.67%,3118263,572.54M
185,SMAR,Smartsheet Inc.,5.49B,-6.90%,7908343,958.34M
186,TENB,"Tenable Holdings, Inc.",5.45B,-0.45%,1785328,798.71M
187,STNE,StoneCo Ltd.,5.45B,-0.29%,4835363,2.31B
188,ST,Sensata Technologies Holding plc,5.39B,0.42%,1380617,4.05B
189,FRSH,Freshworks Inc.,5.37B,-1.44%,2928679,596.43M
190,VRNS,"Varonis Systems, Inc.",5.35B,-0.33%,1687600,499.16M
191,ALGM,"Allegro MicroSystems, Inc.",5.33B,-3.27%,2695439,1.08B
192,CLS,Celestica Inc.,5.33B,-1.01%,2366084,7.96B
193,PEGA,Pegasystems Inc.,5.25B,-0.89%,540869,1.43B
194,BRZE,"Braze, Inc.",5.18B,-2.89%,1426336,439.52M
195,HCP,"HashiCorp, Inc.",5.13B,2.95%,5343573,583.14M
196,EXLS,"ExlService Holdings, Inc.",5.09B,-2.86%,2621376,1.63B
197,KD,"Kyndryl Holdings, Inc.",5.08B,-2.08%,1232769,16.46B
198,DLO,DLocal Limited,5.05B,2.01%,1632199,580.77M
199,EEFT,"Euronet Worldwide, Inc.",4.99B,-0.95%,489737,3.69B
200,ALIT,"Alight, Inc.",4.93B,-0.91%,7034767,3.41B
201,NVMI,Nova Ltd.,4.92B,-0.42%,151098,517.92M
202,CRUS,"Cirrus Logic, Inc.",4.85B,-1.36%,770099,1.79B
203,GBTG,"Global Business Travel Group, Inc.",4.79B,1.63%,451313,2.29B
204,ASGN,ASGN Incorporated,4.69B,1.48%,245319,4.45B
205,CLVT,Clarivate Plc,4.68B,0.57%,3549772,2.63B
206,VERX,"Vertex, Inc.",4.58B,-0.30%,594068,572.39M
207,WK,Workiva Inc.,4.56B,2.10%,384211,630.04M
208,FROG,JFrog Ltd.,4.47B,-0.57%,941973,349.89M
209,CWAN,"Clearwater Analytics Holdings, Inc.",4.47B,1.34%,1747715,368.17M
210,PAGS,PagSeguro Digital Ltd.,4.47B,-0.57%,3695107,3.27B
211,BMI,"Badger Meter, Inc.",4.47B,1.09%,128508,703.59M
212,FIVN,"Five9, Inc.",4.39B,1.03%,2803148,910.49M
213,SQSP,"Squarespace, Inc.",4.37B,1.09%,835060,1.01B
214,CVLT,"Commvault Systems, Inc.",4.36B,-1.94%,810814,819.43M
215,AVT,"Avnet, Inc.",4.29B,-1.07%,1168137,25.61B
216,BOX,"Box, Inc.",4.29B,-0.37%,4897172,1.04B
217,SLAB,Silicon Laboratories Inc.,4.28B,-2.35%,421329,782.26M
218,CNXC,Concentrix Corporation,4.14B,-2.71%,854050,7.11B
219,BL,"BlackLine, Inc.",4.10B,-1.32%,9789694,590.00M
220,ITRI,"Itron, Inc.",4.06B,-0.30%,793068,2.17B
221,IPGP,IPG Photonics Corporation,4.01B,0.23%,816448,1.29B
222,POWI,"Power Integrations, Inc.",3.95B,-0.09%,711138,444.54M
223,SYNA,Synaptics Incorporated,3.91B,-1.07%,389250,1.03B
224,BLKB,"Blackbaud, Inc.",3.89B,-2.42%,539504,1.11B
225,SATS,EchoStar Corporation,3.84B,-3.96%,4517761,17.02B
226,RELY,"Remitly Global, Inc.",3.81B,-0.35%,1479180,944.29M
227,SEDG,"SolarEdge Technologies, Inc.",3.74B,-4.66%,3970025,2.98B
228,DXC,DXC Technology Company,3.74B,0.63%,2131347,13.87B
229,CXM,"Sprinklr, Inc.",3.71B,-3.55%,2058960,703.48M
230,ALRM,"Alarm.com Holdings, Inc.",3.70B,-1.17%,497174,881.68M
231,TDC,Teradata Corporation,3.68B,0.50%,1553636,1.83B
232,DOCN,"DigitalOcean Holdings, Inc.",3.54B,0.20%,1837927,692.88M
233,AI,"C3.ai, Inc.",3.54B,-0.62%,5021262,296.40M
234,ASAN,"Asana, Inc.",3.53B,-1.60%,2873806,652.50M
235,ACLS,"Axcelis Technologies, Inc.",3.53B,-0.46%,669845,1.13B
236,SANM,Sanmina Corporation,3.52B,-5.58%,1547873,8.45B
237,BDC,Belden Inc.,3.51B,1.17%,252837,2.51B
238,AYX,"Alteryx, Inc.",3.49B,-,4594214,970.00M
239,AUR,"Aurora Innovation, Inc.",3.45B,-0.44%,12699891,-
240,PWSC,"PowerSchool Holdings, Inc.",3.44B,-0.91%,415308,697.65M
241,PI,"Impinj, Inc.",3.42B,-1.36%,495962,307.54M
242,TSEM,Tower Semiconductor Ltd.,3.42B,0.13%,336576,1.42B
243,CAMT,Camtek Ltd.,3.42B,0.07%,337673,315.38M
244,PYCR,"Paycor HCM, Inc.",3.39B,1.42%,1127010,604.65M
245,NCNO,"nCino, Inc.",3.38B,-0.90%,779258,462.03M
246,FORM,"FormFactor, Inc.",3.36B,-1.41%,946875,663.10M
247,ACIW,"ACI Worldwide, Inc.",3.35B,1.14%,1032017,1.45B
248,LPL,"LG Display Co., Ltd.",3.33B,-0.70%,448422,16.47B
249,WOLF,"Wolfspeed, Inc.",3.27B,0.19%,3930131,870.30M
250,RNG,"RingCentral, Inc.",3.27B,-1.21%,1439014,2.20B
251,RPD,"Rapid7, Inc.",3.20B,-2.37%,1805087,777.71M
252,CRDO,Credo Technology Group Holding Ltd,3.16B,-1.70%,2761941,164.28M
253,NVEI,Nuvei Corporation,3.14B,-2.99%,650050,1.19B
254,FLYW,Flywire Corporation,3.13B,0.51%,1663871,403.09M
255,SPT,"Sprout Social, Inc.",3.12B,0.04%,965699,333.64M
256,LITE,Lumentum Holdings Inc.,3.10B,-1.51%,1418680,1.44B
257,CLSK,"CleanSpark, Inc.",3.08B,10.04%,43608774,214.38M
258,INST,"Instructure Holdings, Inc.",3.08B,2.17%,360390,530.21M
259,MQ,"Marqeta, Inc.",3.06B,-0.34%,5078734,676.17M
260,VSH,"Vishay Intertechnology, Inc.",3.05B,0.14%,1090392,3.40B
261,DIOD,Diodes Incorporated,3.01B,1.08%,561014,1.66B
262,SRAD,Sportradar Group AG,3.01B,-0.10%,206090,884.39M
263,YOU,"Clear Secure, Inc.",2.99B,0.26%,1675429,613.58M
264,ENV,"Envestnet, Inc.",2.94B,-0.21%,397335,1.25B
265,PAY,"Paymentus Holdings, Inc.",2.91B,-1.36%,439917,614.49M
266,QTWO,"Q2 Holdings, Inc.",2.88B,-0.53%,511848,624.62M
267,RIOT,"Riot Blockchain, Inc.",2.77B,6.13%,25625897,280.68M
268,APPN,Appian Corporation,2.72B,-1.63%,896336,545.36M
269,KLIC,"Kulicke and Soffa Industries, Inc.",2.67B,0.32%,646908,737.45M
270,PLXS,Plexus Corp.,2.62B,-3.11%,269164,4.10B
271,SOUN,"SoundHound AI, Inc.",2.59B,6.45%,124043446,45.87M
272,AVDX,"AvidXchange Holdings, Inc.",2.56B,-0.88%,2335462,380.72M
273,ESE,ESCO Technologies Inc.,2.52B,2.23%,146746,968.85M
274,WNS,WNS (Holdings) Limited,2.51B,-2.66%,1053963,1.30B
275,EVTC,"EVERTEC, Inc.",2.45B,0.45%,302195,694.71M
276,INTA,"Intapp, Inc.",2.44B,-0.66%,1751158,392.15M
277,NABL,"N-able, Inc.",2.43B,0.30%,546898,421.88M
278,ODD,Oddity Tech Ltd.,2.41B,-1.27%,3464166,508.69M
279,SIMO,Silicon Motion Technology Corporation,2.38B,0.93%,351573,945.92M
280,CLBT,Cellebrite DI Ltd.,2.34B,-2.70%,928595,325.11M
281,JAMF,Jamf Holding Corp.,2.33B,-3.11%,668622,560.57M
282,PRGS,Progress Software Corporation,2.32B,-0.68%,577565,694.44M
283,SONO,"Sonos, Inc.",2.31B,0.91%,5787978,1.60B
284,ZETA,Zeta Global Holdings Corp.,2.27B,-1.34%,1365830,728.72M
285,TIXT,TELUS International (Cda) Inc.,2.26B,-1.08%,187357,2.71B
286,ALKT,"Alkami Technology, Inc.",2.26B,-1.41%,449460,264.83M
287,RAMP,"LiveRamp Holdings, Inc.",2.24B,-2.13%,441905,636.44M
288,OSIS,"OSI Systems, Inc.",2.24B,-0.37%,141789,1.37B
289,VIAV,Viavi Solutions Inc.,2.20B,-1.00%,3398101,1.01B
290,ROG,Rogers Corporation,2.20B,0.21%,207039,908.40M
291,VZIO,VIZIO Holding Corp.,2.20B,0.36%,1267448,1.68B
292,CALX,"Calix, Inc.",2.20B,1.13%,1175085,1.04B
293,VYX,NCR Voyix Corporation,2.20B,-2.22%,5750501,3.83B
294,RUM,Rumble Inc.,2.17B,-0.13%,3373324,80.53M
295,PLUS,ePlus inc.,2.15B,-2.25%,1625366,2.16B
296,VSAT,"Viasat, Inc.",2.13B,2.88%,1819718,3.80B
297,DAVA,Endava plc,2.12B,-0.22%,306411,968.73M
298,PRFT,"Perficient, Inc.",2.11B,-0.23%,391304,906.54M
299,PD,"PagerDuty, Inc.",2.11B,-7.33%,4958705,420.55M
300,RUN,Sunrun Inc.,2.10B,4.00%,15824422,2.26B
301,XRX,Xerox Holdings Corporation,2.06B,-0.96%,4325373,6.89B
302,AGYS,"Agilysys, Inc.",2.05B,1.12%,243478,228.14M
303,AMBA,"Ambarella, Inc.",2.05B,-3.55%,1023692,258.18M
304,LSPD,Lightspeed Commerce Inc.,2.02B,-1.69%,940052,863.28M
305,SHLS,"Shoals Technologies Group, Inc.",1.99B,2.03%,4005092,488.94M
306,SITM,SiTime Corporation,1.99B,-3.50%,317855,143.99M
307,SWI,SolarWinds Corporation,1.99B,3.08%,602953,758.74M
308,VRNT,Verint Systems Inc.,1.96B,-1.70%,913348,881.53M
309,UCTT,"Ultra Clean Holdings, Inc.",1.92B,0.16%,592539,1.73B
310,IONQ,"IonQ, Inc.",1.92B,1.20%,5671693,22.04M
311,VECO,Veeco Instruments Inc.,1.91B,-0.65%,504039,666.44M
312,BMBL,Bumble Inc.,1.88B,2.38%,3730974,1.05B
313,PLAB,"Photronics, Inc.",1.87B,-2.45%,945153,897.32M
314,UPBD,"Upbound Group, Inc.",1.81B,-,922349,3.99B
315,BB,BlackBerry Limited,1.80B,-7.17%,36681193,831.00M
316,ARRY,"Array Technologies, Inc.",1.79B,-1.51%,6566468,1.58B
317,EVCM,EverCommerce Inc.,1.76B,-9.63%,857866,675.37M
318,DQ,Daqo New Energy Corp.,1.76B,-1.55%,1186586,2.31B
319,GRND,Grindr Inc.,1.75B,1.22%,429033,259.69M
320,FSLY,"Fastly, Inc.",1.71B,-1.33%,2688236,505.99M
321,SPNS,Sapiens International Corporation N.V.,1.70B,-0.47%,200540,514.58M
322,NTCT,"NetScout Systems, Inc.",1.69B,-5.72%,5158064,834.11M
323,ACMR,"ACM Research, Inc.",1.68B,-1.31%,993365,557.72M
324,CNXN,"PC Connection, Inc.",1.67B,0.16%,197159,2.85B
325,COMP,"Compass, Inc.",1.66B,-14.33%,18880349,4.89B
326,PAYO,Payoneer Global Inc.,1.64B,-1.39%,3468685,831.10M
327,PRO,"PROS Holdings, Inc.",1.63B,-0.20%,180631,303.71M
328,VTEX,VTEX,1.63B,-1.81%,375279,201.52M
329,SEMR,"Semrush Holdings, Inc.",1.61B,-0.27%,508528,307.68M
330,NATL,NCR Atleos Corporation,1.60B,-1.09%,889252,-
331,DCBO,Docebo Inc.,1.60B,-1.18%,65720,180.84M
332,VICR,Vicor Corporation,1.58B,1.46%,321302,405.06M
333,GDS,GDS Holdings Limited,1.51B,-5.14%,1706821,1.35B
334,CSGS,"CSG Systems International, Inc.",1.50B,0.06%,630266,1.17B
335,SMTC,Semtech Corporation,1.49B,1.83%,1503626,843.32M
336,STER,Sterling Check Corp.,1.48B,-0.13%,1694480,719.64M
337,MXL,"MaxLinear, Inc.",1.47B,-0.89%,1290046,693.26M
338,EXTR,"Extreme Networks, Inc.",1.46B,-0.62%,5292022,1.35B
339,COHU,"Cohu, Inc.",1.46B,1.45%,1749060,636.32M
340,TTMI,"TTM Technologies, Inc.",1.45B,-1.05%,1824205,2.23B
341,HLIT,Harmonic Inc.,1.44B,-2.41%,1684338,607.91M
342,EVBG,"Everbridge, Inc.",1.44B,0.03%,1501350,448.79M
343,AVPT,"AvePoint, Inc.",1.43B,-2.96%,1182770,271.83M
344,GCT,GigaCloud Technology Inc.,1.43B,23.32%,8994871,584.70M
345,KN,Knowles Corporation,1.38B,-0.72%,494088,707.60M
346,CTS,CTS Corporation,1.37B,0.67%,248510,550.42M
347,MLNK,"MeridianLink, Inc.",1.37B,0.89%,186659,303.62M
348,BASE,"Couchbase, Inc.",1.35B,-3.17%,1043020,171.57M
349,JKS,"JinkoSolar Holding Co., Ltd.",1.33B,1.42%,719932,15.94B
350,AMPL,"Amplitude, Inc.",1.33B,-2.53%,544558,276.28M
351,DBD,"Diebold Nixdorf, Incorporated",1.31B,3.16%,196410,3.49B
352,PDFS,"PDF Solutions, Inc.",1.30B,-3.53%,362200,165.84M
353,CRSR,"Corsair Gaming, Inc.",1.29B,-0.73%,472358,1.46B
354,ZUO,"Zuora, Inc.",1.27B,0.34%,2620750,424.03M
355,CSIQ,Canadian Solar Inc.,1.25B,0.31%,2092831,7.61B
356,ETWO,"E2open Parent Holdings, Inc.",1.21B,0.25%,1437801,642.37M
357,ADEA,Adeia Inc.,1.18B,2.58%,1488018,388.79M
358,PAR,PAR Technology Corporation,1.18B,-1.40%,195018,415.82M
359,PUBM,"PubMatic, Inc.",1.18B,-2.88%,835102,267.01M
360,SGH,"SMART Global Holdings, Inc.",1.17B,-2.25%,3875226,1.25B
361,FORTY,Formula Systems (1985) Ltd.,1.16B,4.00%,160,2.64B
362,IMOS,ChipMOS TECHNOLOGIES INC.,1.10B,-,7850,766.03M
363,ICHR,"Ichor Holdings, Ltd.",1.10B,0.05%,915002,811.12M
364,CRCT,"Cricut, Inc.",1.09B,3.54%,1343363,765.15M
365,IE,Ivanhoe Electric Inc.,1.09B,5.59%,886680,3.90M
