,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
118,PERI,Perion Network Ltd.,1.05B,0.27%,255579,743.16M
119,IHS,IHS Holding Limited,1.00B,1.00%,753432,2.13B
120,IDT,IDT Corporation,962.19M,0.24%,76773,1.20B
121,IMAX,IMAX Corporation,891.17M,-1.96%,545501,374.84M
122,SHEN,Shenandoah Telecommunications Company,876.75M,0.92%,411014,287.38M
123,KIND,"Nextdoor Holdings, Inc.",869.92M,-2.71%,2244556,218.31M
124,TTGT,"TechTarget, Inc.",851.26M,2.15%,230228,229.96M
125,QNST,"QuinStreet, Inc.",849.70M,6.40%,704166,549.59M
126,FVRR,Fiverr International Ltd.,844.09M,-2.02%,758458,361.38M
127,SBGI,"Sinclair Broadcast Group, Inc.",834.46M,-2.74%,855110,3.13B
128,DLX,Deluxe Corporation,828.18M,3.93%,305098,2.19B
129,ASTS,"AST SpaceMobile, Inc.",805.15M,3.29%,7929705,-
130,CCO,"Clear Channel Outdoor Holdings, Inc.",788.46M,-4.29%,4034586,2.13B
131,THRY,"Thryv Holdings, Inc.",779.78M,1.05%,331903,916.96M
132,GRPN,"Groupon, Inc.",713.64M,-30.71%,9807907,525.35M
133,SMWB,Similarweb Ltd.,706.12M,-1.33%,115255,218.02M
134,DDI,"DoubleDown Interactive Co., Ltd.",682.35M,-2.83%,12178,308.86M
135,ATEX,Anterix Inc.,640.60M,-,97808,3.54M
136,EVER,"EverQuote, Inc.",633.93M,-5.24%,530260,287.92M
137,GTN,"Gray Television, Inc.",570.87M,-1.20%,1016990,3.28B
138,AMCX,AMC Networks Inc.,535.37M,-0.49%,4858512,2.71B
139,GRVY,"Gravity Co., Ltd.",502.37M,0.76%,31348,558.92M
140,BOC,Boston Omaha Corporation,496.81M,0.32%,244504,94.18M
141,CNSL,"Consolidated Communications Holdings, Inc.",495.33M,0.94%,869672,1.11B
142,RBBN,Ribbon Communications Inc.,493.24M,3.89%,726159,826.34M
143,RSVR,"Reservoir Media, Inc.",480.98M,1.08%,96992,140.52M
144,ATNI,"ATN International, Inc.",479.61M,1.90%,187172,755.27M
145,NN,NextNav Inc.,471.45M,-0.71%,1239061,3.86M
146,FUBO,fuboTV Inc.,467.19M,-2.58%,9987716,1.37B
147,MCS,The Marcus Corporation,454.90M,0.91%,424349,729.58M
148,ZH,Zhihu Inc.,453.07M,6.83%,488304,574.22M
149,GDEV,GDEV Inc.,439.69M,-,214,-
150,CCG,Cheche Group Inc,421.86M,1.27%,1327,-
151,NCMI,"National CineMedia, Inc.",394.88M,3.92%,432072,166.10M
152,DRCT,"Direct Digital Holdings, Inc.",394.29M,17.66%,371491,146.84M
153,EEX,"Emerald Holding, Inc.",372.51M,-,49769,382.80M
154,JFIN,Jiayin Group Inc.,368.82M,-2.04%,48504,676.85M
155,NEXN,Nexxen International Ltd.,342.12M,2.10%,26933,331.99M
156,ADTH,"AdTheorent Holding Company, Inc.",338.16M,-13.17%,763118,170.81M
157,SSP,The E.W. Scripps Company,337.57M,-6.53%,1701387,2.29B
158,SOHU,Sohu.com Limited,334.34M,0.20%,49382,600.67M
159,CDLX,"Cardlytics, Inc.",321.29M,77.15%,18779334,309.20M
160,TRUE,"TrueCar, Inc.",305.42M,-2.39%,554927,158.71M
161,GCI,"Gannett Co., Inc.",295.25M,1.52%,521346,2.66B
162,MYPS,"PLAYSTUDIOS, Inc.",292.85M,5.00%,881966,310.89M
163,CTV,Innovid Corp.,282.23M,1.51%,385589,139.88M
164,IHRT,"iHeartMedia, Inc.",267.82M,-2.36%,1324912,3.75B
165,WOW,"WideOpenWest, Inc.",252.57M,-4.10%,1417508,686.70M
166,SIFY,Sify Technologies Limited,239.51M,3.08%,85547,421.93M
167,DOYU,DouYu International Holdings Limited,238.81M,-8.94%,8359941,813.69M
168,HAO,Haoxi Health Technology Limited,222.52M,2.05%,3439,28.23M
169,OOMA,"Ooma, Inc.",220.07M,1.41%,88619,231.56M
