,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
114,CEIX,CONSOL Energy Inc.,2.41B,-0.45%,772170,2.57B
115,TALO,Talos Energy Inc.,2.35B,0.23%,3692033,1.46B
116,TGS,Transportadora de Gas del Sur S.A.,2.29B,4.23%,222313,932.68M
117,CRK,"Comstock Resources, Inc.",2.28B,-2.44%,7889840,1.57B
118,CPE,Callon Petroleum Company,2.25B,-0.89%,2419294,2.34B
119,AESI,Atlas Energy Solutions Inc.,2.20B,-0.32%,1622830,613.96M
120,PARR,"Par Pacific Holdings, Inc.",2.18B,1.64%,1696728,8.23B
121,KNTK,Kinetik Holdings Inc.,2.14B,2.17%,1315075,1.26B
122,OII,"Oceaneering International, Inc.",2.14B,2.88%,862166,2.42B
123,XPRO,Expro Group Holdings N.V.,2.04B,-0.38%,1864701,1.51B
124,HPK,"HighPeak Energy, Inc.",1.98B,0.85%,519664,1.11B
125,CRGY,Crescent Energy Company,1.94B,1.37%,2373284,2.38B
126,TNK,Teekay Tankers Ltd.,1.87B,1.16%,484588,1.36B
127,VET,Vermilion Energy Inc.,1.86B,-0.79%,1335467,1.51B
128,VTLE,"Vital Energy, Inc.",1.86B,0.49%,489298,1.55B
129,DKL,"Delek Logistics Partners, LP",1.85B,1.00%,86926,1.02B
130,KGS,"Kodiak Gas Services, Inc.",1.82B,-0.80%,256189,850.38M
131,DHT,"DHT Holdings, Inc.",1.80B,0.45%,2728440,560.56M
132,DK,"Delek US Holdings, Inc.",1.77B,6.61%,3044780,16.92B
133,MNR,Mach Natural Resources LP,1.73B,-0.68%,68020,817.06M
134,BORR,Borr Drilling Limited,1.72B,0.15%,2619759,771.60M
135,DNN,Denison Mines Corp.,1.62B,5.03%,18231483,1.39M
136,RES,"RPC, Inc.",1.61B,2.14%,1753477,1.62B
137,KRP,"Kimbell Royalty Partners, LP",1.57B,0.99%,265077,294.07M
138,GLP,Global Partners LP,1.55B,0.55%,249223,16.49B
139,DNOW,NOW Inc.,1.55B,-0.21%,2272469,2.32B
140,LPG,Dorian LPG Ltd.,1.52B,0.86%,833946,552.96M
141,WKC,World Kinect Corporation,1.49B,-0.36%,1396072,47.71B
142,HLX,"Helix Energy Solutions Group, Inc.",1.49B,1.33%,1386388,1.29B
143,FLNG,FLEX LNG Ltd.,1.37B,-0.63%,227119,371.02M
144,NEXT,NextDecade Corporation,1.36B,2.07%,2360339,-
145,DO,"Diamond Offshore Drilling, Inc.",1.32B,1.48%,2175560,1.06B
146,GEL,"Genesis Energy, L.P.",1.30B,2.14%,480976,3.18B
147,DMLP,"Dorchester Minerals, L.P.",1.27B,0.49%,40246,163.80M
148,ACDC,ProFrac Holding Corp.,1.26B,1.67%,1489865,2.93B
149,NRP,Natural Resource Partners L.P.,1.16B,-0.87%,48023,370.01M
150,CLMT,"Calumet Specialty Products Partners, L.P.",1.15B,0.14%,168488,4.18B
151,NVGS,Navigator Holdings Ltd.,1.14B,-1.67%,144790,550.74M
152,WTTR,"Select Energy Services, Inc.",1.05B,0.22%,5884658,1.59B
153,MRC,MRC Global Inc.,1.03B,2.38%,433591,3.41B
154,UUUU,Energy Fuels Inc.,971.63M,2.21%,2893154,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",950.33M,3.45%,1241760,1.55B
156,PDS,Precision Drilling Corporation,922.43M,0.78%,40052,1.46B
157,SBR,Sabine Royalty Trust,893.86M,0.02%,28908,93.01M
158,SBOW,"SilverBow Resources, Inc.",852.12M,1.53%,472668,652.36M
159,CAPL,CrossAmerica Partners LP,845.70M,1.17%,30666,4.39B
160,NBR,Nabors Industries Ltd.,838.75M,1.19%,196940,3.05B
161,PUMP,ProPetro Holding Corp.,820.58M,2.26%,1310205,1.63B
162,DRQ,"Dril-Quip, Inc.",809.76M,1.83%,190248,424.06M
163,NGL,NGL Energy Partners LP,781.84M,0.50%,640528,7.38B
164,EFXT,Enerflex Ltd.,773.85M,-1.95%,122392,2.38B
165,CLB,Core Laboratories N.V.,749.43M,2.68%,880986,509.79M
166,TNP,Tsakos Energy Navigation Limited,733.51M,-2.37%,283866,860.40M
167,EU,enCore Energy Corp.,724.54M,3.30%,3280639,-
168,VTOL,Bristow Group Inc.,724.07M,-0.04%,261223,1.30B
169,TELL,Tellurian Inc.,720.66M,4.50%,59116325,166.13M
170,VTS,"Vitesse Energy, Inc.",682.45M,0.82%,139808,233.91M
171,TK,Teekay Corporation,661.62M,-0.69%,957916,1.52B
172,NOA,North American Construction Group Ltd.,621.59M,-0.09%,105532,719.71M
173,LEU,Centrus Energy Corp.,604.76M,-0.68%,195271,320.20M
174,NR,"Newpark Resources, Inc.",604.08M,0.42%,536271,749.60M
175,OBE,Obsidian Energy Ltd.,600.97M,-0.13%,335544,514.59M
176,PBT,Permian Basin Royalty Trust,598.92M,-,86537,29.10M
177,REPX,"Riley Exploration Permian, Inc.",580.18M,2.11%,80319,375.05M
178,EGY,"VAALCO Energy, Inc.",561.55M,3.75%,2194043,402.50M
179,DEC,Diversified Energy Company PLC,557.89M,-,101629,-
180,CLNE,Clean Energy Fuels Corp.,555.86M,1.20%,3194615,425.16M
181,TXO,TXO Partners L.P.,555.34M,-2.55%,31960,380.72M
182,BRY,Berry Corporation,550.36M,1.80%,1653181,903.46M
183,TTI,"TETRA Technologies, Inc.",547.74M,1.67%,1170308,626.26M
184,GPRK,GeoPark Limited,524.70M,0.21%,630041,787.86M
185,SD,"SandRidge Energy, Inc.",511.62M,0.73%,358361,148.64M
186,OSG,"Overseas Shipholding Group, Inc.",429.97M,0.99%,461150,451.87M
187,URG,Ur-Energy Inc.,408.36M,2.07%,5563949,17.68M
188,SGU,"Star Group, L.P.",382.42M,0.37%,12182,1.83B
189,WTI,"W&T Offshore, Inc.",368.61M,3.60%,4441357,532.66M
190,OIS,"Oil States International, Inc.",365.28M,6.25%,3096973,782.28M
191,SOI,"Solaris Oilfield Infrastructure, Inc.",359.36M,2.89%,255244,292.95M
192,REI,"Ring Energy, Inc.",354.30M,4.47%,4008908,361.06M
193,BOOM,DMC Global Inc.,344.48M,2.99%,248936,719.19M
194,CCLP,CSI Compressco LP,322.04M,-0.89%,245445,386.13M
195,UROY,Uranium Royalty Corp.,284.03M,3.81%,1861609,21.29M
196,SJT,San Juan Basin Royalty Trust,263.34M,-1.06%,211128,78.31M
197,HNRG,Hallador Energy Company,254.62M,-10.41%,1051407,634.48M
198,RNGR,"Ranger Energy Services, Inc.",253.59M,3.49%,148065,636.60M
199,BROG,Brooge Energy Limited,251.62M,4.93%,1613,-
200,AMPY,Amplify Energy Corp.,235.24M,-0.33%,532622,307.60M
201,FET,"Forum Energy Technologies, Inc.",227.62M,-1.78%,59873,738.86M
202,NGS,"Natural Gas Services Group, Inc.",220.64M,-0.85%,58558,108.77M
203,NC,"NACCO Industries, Inc.",217.45M,-0.62%,42967,214.79M
204,EPM,Evolution Petroleum Corporation,197.06M,1.87%,393177,96.67M
205,GTE,Gran Tierra Energy Inc.,194.41M,1.79%,595864,636.96M
206,SMLP,"Summit Midstream Partners, LP",191.41M,-9.34%,124978,417.31M
207,PNRG,PrimeEnergy Resources Corporation,178.96M,3.25%,3663,111.14M
208,GEOS,Geospace Technologies Corporation,168.59M,-1.34%,75099,143.43M
209,EP,Empire Petroleum Corporation,144.76M,-1.77%,83592,37.42M
210,KGEI,Kolibri Global Energy Inc.,129.32M,1.94%,9295,-
211,AMTX,"Aemetis, Inc.",126.42M,-3.13%,573200,182.69M
212,KLXE,"KLX Energy Services Holdings, Inc.",117.89M,3.97%,405822,888.40M
213,PHX,PHX Minerals Inc.,113.44M,1.67%,64748,44.46M
214,VTNR,"Vertex Energy, Inc.",112.22M,2.50%,3334361,3.18B
215,EPSN,Epsilon Energy Ltd.,110.14M,-0.40%,54838,37.38M
216,FTK,"Flotek Industries, Inc.",107.98M,5.49%,164114,194.09M
217,VOC,VOC Energy Trust,103.53M,0.66%,17557,19.14M
