,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
115,HAS,"Hasbro, Inc.",7.35B,0.64%,3372874,5.00B
116,LEVI,Levi Strauss & Co.,7.29B,-0.71%,1186252,6.18B
117,CAVA,"CAVA Group, Inc.",7.26B,0.72%,1490012,728.70M
118,BROS,Dutch Bros Inc.,7.16B,0.47%,936345,965.78M
119,DDS,"Dillard's, Inc.",7.11B,-2.59%,139951,6.87B
120,MMYT,MakeMyTrip Limited,6.96B,0.27%,1091973,728.16M
121,BERY,"Berry Global Group, Inc.",6.95B,-0.42%,1996109,12.46B
122,MAT,"Mattel, Inc.",6.81B,-0.52%,9821235,5.44B
123,ALSN,"Allison Transmission Holdings, Inc.",6.71B,0.37%,363300,3.04B
124,BFAM,Bright Horizons Family Solutions Inc.,6.63B,-0.98%,196371,2.42B
125,HRB,"H&R Block, Inc.",6.51B,0.26%,910248,3.49B
126,CART,Maplebear Inc.,6.47B,0.17%,4485394,3.04B
127,AN,"AutoNation, Inc.",6.47B,2.49%,902123,26.95B
128,ANF,Abercrombie & Fitch Co.,6.44B,0.42%,3576086,4.28B
129,LCID,"Lucid Group, Inc.",6.43B,2.66%,22239148,595.27M
130,WH,"Wyndham Hotels & Resorts, Inc.",6.33B,0.24%,1494997,1.40B
131,CHH,"Choice Hotels International, Inc.",6.29B,1.62%,892728,1.54B
132,MNSO,MINISO Group Holding Limited,6.21B,-,3539630,1.95B
133,TMHC,Taylor Morrison Home Corporation,6.04B,-0.56%,900145,7.42B
134,REYN,Reynolds Consumer Products Inc.,6.03B,1.12%,3834377,3.76B
135,BYD,Boyd Gaming Corporation,5.94B,-0.21%,1352332,3.74B
136,M,"Macy's, Inc.",5.90B,-1.44%,8751147,23.87B
137,GIL,Gildan Activewear Inc.,5.84B,-0.84%,354988,3.20B
138,BC,Brunswick Corporation,5.80B,2.80%,1906362,6.40B
139,WHR,Whirlpool Corporation,5.76B,-0.53%,8060234,19.46B
140,RRR,"Red Rock Resorts, Inc.",5.72B,-1.27%,678585,1.72B
141,VFC,V.F. Corporation,5.68B,1.23%,8844706,10.82B
142,GLBE,Global-e Online Ltd.,5.65B,-3.07%,1545751,569.95M
143,MTH,Meritage Homes Corporation,5.59B,1.84%,999020,6.14B
144,SON,Sonoco Products Company,5.58B,0.23%,300725,6.78B
145,HOG,"Harley-Davidson, Inc.",5.53B,1.21%,2262689,5.84B
146,CPRI,Capri Holdings Limited,5.47B,-0.23%,1171760,5.28B
147,THO,"Thor Industries, Inc.",5.38B,2.86%,689464,10.38B
148,PLNT,"Planet Fitness, Inc.",5.36B,-0.53%,992070,1.07B
149,RH,RH,5.32B,-0.37%,267779,3.06B
150,ASO,"Academy Sports and Outdoors, Inc.",5.28B,-0.13%,1804966,6.11B
151,SEE,Sealed Air Corporation,5.20B,0.42%,803233,5.49B
152,PII,Polaris Inc.,5.12B,1.35%,983959,8.93B
153,KBH,KB Home,5.06B,1.51%,1174358,6.41B
154,LOT,Lotus Technology Inc.,4.86B,1.98%,38826,139.59M
155,COLM,Columbia Sportswear Company,4.75B,0.26%,1843686,3.49B
156,AAP,"Advance Auto Parts, Inc.",4.74B,2.82%,4079832,11.29B
157,SLGN,Silgan Holdings Inc.,4.73B,0.27%,459685,5.99B
158,DOOO,BRP Inc.,4.72B,-1.76%,91322,7.85B
159,MDC,"M.D.C. Holdings, Inc.",4.71B,-0.19%,1748401,4.64B
160,HGV,Hilton Grand Vacations Inc.,4.66B,1.78%,657363,3.98B
161,SKY,Skyline Champion Corporation,4.65B,1.22%,320283,1.98B
162,AEO,"American Eagle Outfitters, Inc.",4.54B,0.35%,6615388,5.08B
163,GME,GameStop Corp.,4.47B,-2.67%,2722081,5.71B
164,MOD,Modine Manufacturing Company,4.42B,4.53%,1210356,2.42B
165,SHAK,Shake Shack Inc.,4.38B,-0.01%,602536,1.09B
166,SIG,Signet Jewelers Limited,4.34B,2.06%,548048,7.34B
167,ABG,"Asbury Automotive Group, Inc.",4.18B,2.59%,299469,14.80B
168,IGT,International Game Technology PLC,4.16B,-1.01%,2723572,4.79B
169,GOLF,Acushnet Holdings Corp.,3.94B,-0.03%,290831,2.38B
170,URBN,"Urban Outfitters, Inc.",3.93B,1.25%,2016630,5.05B
171,RUSHB,"Rush Enterprises, Inc.",3.78B,2.57%,40932,7.93B
172,RUSHA,"Rush Enterprises, Inc.",3.78B,1.90%,1100986,7.93B
173,WEN,The Wendy's Company,3.75B,0.44%,5149876,2.18B
174,TRIP,"Tripadvisor, Inc.",3.71B,1.67%,3896995,1.79B
175,ZGN,Ermenegildo Zegna N.V.,3.70B,-0.34%,551308,1.83B
176,GPI,"Group 1 Automotive, Inc.",3.60B,1.35%,94145,17.87B
177,GT,The Goodyear Tire & Rubber Company,3.55B,-,3314160,20.07B
178,DFH,"Dream Finders Homes, Inc.",3.52B,-5.81%,862907,3.75B
179,VAC,Marriott Vacations Worldwide Corporation,3.45B,0.89%,929533,4.73B
180,MHO,"M/I Homes, Inc.",3.41B,-0.35%,280836,4.03B
181,KTB,"Kontoor Brands, Inc.",3.31B,-0.66%,1226185,2.61B
182,PSNY,Polestar Automotive Holding UK PLC,3.29B,4.49%,1942731,2.83B
183,PRKS,United Parks & Resorts Inc.,3.28B,1.40%,570801,1.73B
184,YETI,"YETI Holdings, Inc.",3.23B,-0.30%,1014579,1.66B
185,TPH,"Tri Pointe Homes, Inc.",3.23B,1.81%,3409931,3.72B
186,TNL,Travel + Leisure Co.,3.18B,1.63%,877920,3.75B
187,MLCO,Melco Resorts & Entertainment Limited,3.15B,-1.37%,1911720,3.78B
188,VC,Visteon Corporation,3.12B,-0.54%,401619,3.95B
189,CRI,"Carter's, Inc.",3.10B,1.20%,1086797,2.95B
190,UA,"Under Armour, Inc.",3.10B,-0.57%,5286146,5.77B
191,SHOO,"Steven Madden, Ltd.",3.08B,0.02%,4625570,1.98B
192,CVCO,"Cavco Industries, Inc.",3.08B,3.09%,180029,1.85B
193,UAA,"Under Armour, Inc.",3.08B,-1.11%,10022858,5.77B
194,GEF.B,"Greif, Inc.",3.04B,1.48%,15449,5.15B
195,GEF,"Greif, Inc.",3.03B,0.97%,150487,5.15B
196,SVV,"Savers Value Village, Inc.",2.99B,-1.87%,854914,1.50B
197,ADNT,Adient plc,2.97B,0.18%,2119515,15.36B
198,JWN,"Nordstrom, Inc.",2.86B,-1.76%,3610631,14.59B
199,AIN,Albany International Corp.,2.85B,0.77%,155100,1.15B
200,QS,QuantumScape Corporation,2.84B,1.97%,3565279,-
201,LTH,"Life Time Group Holdings, Inc.",2.82B,-1.60%,628676,2.22B
202,ACVA,ACV Auctions Inc.,2.82B,1.90%,1257631,481.23M
203,DORM,"Dorman Products, Inc.",2.81B,-0.01%,220829,1.93B
204,VSTS,Vestis Corporation,2.80B,-1.98%,3400228,-
205,KSS,Kohl's Corporation,2.78B,-1.27%,4349729,17.54B
206,CCS,"Century Communities, Inc.",2.78B,1.71%,1043527,3.69B
207,PENN,"PENN Entertainment, Inc.",2.77B,-2.86%,5836502,6.36B
208,LCII,LCI Industries,2.73B,2.79%,333771,3.78B
209,ATAT,Atour Lifestyle Holdings Limited,2.67B,-0.15%,2472425,520.90M
210,ZKH,ZKH Group Limited,2.63B,-0.85%,45439,1.16B
211,BOOT,"Boot Barn Holdings, Inc.",2.63B,0.17%,657230,1.70B
212,LGIH,"LGI Homes, Inc.",2.55B,-1.23%,384539,2.36B
213,ARCO,Arcos Dorados Holdings Inc.,2.49B,-3.81%,1402733,4.33B
214,BLMN,"Bloomin' Brands, Inc.",2.48B,-0.70%,1363384,4.67B
215,LEG,"Leggett & Platt, Incorporated",2.48B,0.43%,1815317,4.73B
216,PATK,"Patrick Industries, Inc.",2.47B,2.10%,746854,3.47B
217,MODG,Topgolf Callaway Brands Corp.,2.46B,3.81%,2401944,4.28B
218,GRBK,"Green Brick Partners, Inc.",2.44B,1.19%,386901,1.78B
219,SG,"Sweetgreen, Inc.",2.44B,2.69%,1865619,584.04M
220,FTDR,"Frontdoor, Inc.",2.39B,0.79%,1202360,1.78B
221,DRVN,Driven Brands Holdings Inc.,2.36B,1.89%,1041979,2.30B
222,PTVE,Pactiv Evergreen Inc.,2.34B,0.15%,461838,5.51B
223,OI,"O-I Glass, Inc.",2.34B,2.03%,1488476,7.11B
224,PZZA,"Papa John's International, Inc.",2.32B,0.81%,720796,2.14B
225,GTX,Garrett Motion Inc.,2.30B,-1.86%,1048168,3.89B
226,MBC,"MasterBrand, Inc.",2.28B,1.01%,2814215,2.73B
227,MCW,"Mister Car Wash, Inc.",2.24B,3.52%,1018315,927.07M
228,FUN,"Cedar Fair, L.P.",2.20B,0.28%,161593,1.80B
229,ARHS,"Arhaus, Inc.",2.20B,-2.80%,1666795,1.29B
230,MLKN,"MillerKnoll, Inc.",2.18B,1.60%,4412646,3.81B
231,SIX,Six Flags Entertainment Corporation,2.16B,0.39%,1112970,1.43B
232,FL,"Foot Locker, Inc.",2.16B,-1.88%,4378623,8.13B
233,EAT,"Brinker International, Inc.",2.15B,0.86%,1431496,4.25B
234,AMBP,Ardagh Metal Packaging S.A.,2.00B,3.89%,1611580,4.81B
235,FOXF,Fox Factory Holding Corp.,1.98B,-1.02%,696657,1.46B
236,BKE,"The Buckle, Inc.",1.90B,3.11%,1502555,1.28B
237,ODP,The ODP Corporation,1.89B,1.59%,1108059,7.83B
238,HBI,Hanesbrands Inc.,1.87B,6.77%,78756942,5.64B
239,WGO,"Winnebago Industries, Inc.",1.86B,3.16%,915787,3.30B
240,VSTO,Vista Outdoor Inc.,1.85B,0.22%,632112,2.79B
241,CAKE,The Cheesecake Factory Incorporated,1.83B,-0.56%,810846,3.44B
242,EYE,"National Vision Holdings, Inc.",1.83B,0.18%,1116653,2.13B
243,SAH,"Sonic Automotive, Inc.",1.76B,1.85%,136909,14.37B
244,THRM,Gentherm Incorporated,1.74B,0.43%,272397,1.47B
245,PHIN,PHINIA Inc.,1.70B,-1.47%,1791774,3.50B
246,SGHC,Super Group (SGHC) Limited,1.69B,1.18%,430158,1.49B
247,KAR,Openlane Inc.,1.69B,2.37%,607916,1.65B
248,DAN,Dana Incorporated,1.67B,0.61%,2079412,10.56B
249,OXM,"Oxford Industries, Inc.",1.64B,1.22%,236153,1.55B
250,PTON,"Peloton Interactive, Inc.",1.60B,-0.69%,10405074,2.73B
251,CNNE,"Cannae Holdings, Inc.",1.59B,0.14%,466068,570.00M
252,LZB,La-Z-Boy Incorporated,1.58B,1.33%,731633,2.05B
253,BYON,"Beyond, Inc.",1.54B,-2.05%,884437,1.56B
254,VSCO,Victoria's Secret & Co.,1.50B,-3.22%,3146725,6.12B
255,CBRL,"Cracker Barrel Old Country Store, Inc.",1.49B,-0.43%,673807,3.43B
256,AMWD,American Woodmark Corporation,1.48B,1.65%,350310,1.88B
257,RVLV,"Revolve Group, Inc.",1.47B,0.77%,794711,1.07B
258,JACK,Jack in the Box Inc.,1.45B,-1.36%,680114,1.65B
259,FWRG,"First Watch Restaurant Group, Inc.",1.45B,1.36%,742754,891.55M
260,GES,"Guess', Inc.",1.36B,-1.18%,493951,2.70B
261,MCRI,"Monarch Casino & Resort, Inc.",1.35B,-0.63%,669848,501.48M
262,CAL,"Caleres, Inc.",1.35B,1.72%,1010626,2.82B
263,XPEL,"XPEL, Inc.",1.34B,0.23%,277246,396.29M
264,LVWR,"LiveWire Group, Inc.",1.34B,-7.88%,65730,38.02M
265,LESL,"Leslie's, Inc.",1.32B,5.99%,4277325,1.43B
266,RSI,"Rush Street Interactive, Inc.",1.31B,-0.34%,699077,691.16M
267,SBH,"Sally Beauty Holdings, Inc.",1.30B,0.08%,1495969,3.70B
268,PLYA,Playa Hotels & Resorts N.V.,1.29B,-1.16%,1081827,977.50M
269,OSW,OneSpaWorld Holdings Limited,1.29B,-0.08%,706548,794.05M
270,NWTN,NWTN Inc.,1.26B,-10.86%,47863,583.00K
271,MSC,Studio City International Holdings Limited,1.25B,-,2003,445.54M
272,WINA,Winmark Corporation,1.24B,-1.60%,27787,83.24M
273,GIII,"G-III Apparel Group, Ltd.",1.22B,-1.80%,2882011,3.19B
274,GOOS,Canada Goose Holdings Inc.,1.20B,-1.27%,1480083,954.14M
275,CWH,"Camping World Holdings, Inc.",1.15B,1.25%,992386,6.23B
276,EXTO,Almacenes Éxito S.A.,1.13B,-,81406,5.45B
277,OLPX,"Olaplex Holdings, Inc.",1.12B,10.59%,8301698,458.30M
278,SHCO,Soho House & Co Inc.,1.12B,-13.57%,511089,1.12B
279,KRUS,"Kura Sushi USA, Inc.",1.10B,1.52%,70491,199.59M
280,CARS,Cars.com Inc.,1.09B,-2.13%,792954,689.18M
281,BLBD,Blue Bird Corporation,1.04B,-0.75%,551273,1.21B
282,TRS,TriMas Corporation,1.01B,1.38%,238251,893.55M
283,NGMS,NeoGames S.A.,968.60M,0.28%,21594,191.54M
284,GDEN,"Golden Entertainment, Inc.",967.01M,0.80%,306586,1.05B
285,ACEL,"Accel Entertainment, Inc.",945.30M,0.53%,551500,1.17B
286,BZH,"Beazer Homes USA, Inc.",938.15M,-0.50%,500186,2.15B
287,TILE,"Interface, Inc.",898.04M,1.20%,1299961,1.26B
288,SCVL,"Shoe Carnival, Inc.",874.18M,1.81%,392214,1.19B
289,MNRO,"Monro, Inc.",869.58M,3.20%,1513292,1.28B
290,HOV,"Hovnanian Enterprises, Inc.",867.56M,-3.82%,76852,2.83B
291,HIBB,"Hibbett, Inc.",859.69M,-6.19%,1321175,1.72B
292,FIGS,"FIGS, Inc.",844.46M,1.21%,3924913,545.65M
293,ETD,Ethan Allen Interiors Inc.,824.73M,0.40%,251664,704.86M
294,BJRI,"BJ's Restaurants, Inc.",819.01M,0.06%,494815,1.33B
295,WWW,"Wolverine World Wide, Inc.",798.26M,1.40%,1084070,2.24B
296,MBUU,"Malibu Boats, Inc.",795.98M,2.88%,413493,1.21B
297,PTLO,Portillo's Inc.,783.58M,0.94%,807037,679.91M
298,MYE,"Myers Industries, Inc.",769.43M,-0.14%,726098,813.07M
299,AXL,"American Axle & Manufacturing Holdings, Inc.",765.64M,0.76%,6493194,6.08B
300,LAZR,"Luminar Technologies, Inc.",762.48M,-3.68%,22008773,69.78M
301,EVGO,"EVgo, Inc.",744.74M,1.21%,2397630,160.95M
302,EVRI,Everi Holdings Inc.,739.77M,2.47%,715957,807.82M
303,DIN,"Dine Brands Global, Inc.",723.75M,0.11%,473759,831.07M
304,SABR,Sabre Corporation,719.12M,4.21%,8969350,2.91B
305,XPOF,"Xponential Fitness, Inc.",715.18M,2.48%,473485,318.66M
306,CHPT,"ChargePoint Holdings, Inc.",707.28M,-0.59%,26434953,543.63M
307,JMIA,Jumia Technologies AG,684.19M,1.47%,2817019,207.11M
308,SMP,"Standard Motor Products, Inc.",682.55M,1.39%,138429,1.36B
309,BWMX,"Betterware de México, S.A.P.I. de C.V.",679.35M,3.04%,69827,767.35M
310,ARKO,Arko Corp.,668.99M,-0.36%,803843,9.41B
311,ECX,"ECARX Holdings, Inc.",668.04M,2.60%,55440,4.67B
312,HZO,"MarineMax, Inc.",661.85M,2.49%,325419,2.41B
313,DADA,Dada Nexus Limited,655.03M,2.01%,2554573,1.50B
314,FLWS,"1-800-FLOWERS.COM, Inc.",654.65M,0.79%,251592,1.91B
315,DESP,"Despegar.com, Corp.",653.30M,14.46%,2261629,647.92M
316,BALY,Bally's Corporation,618.18M,-1.04%,406925,2.41B
317,DBI,Designer Brands Inc.,612.92M,2.04%,3483581,3.08B
318,LEGH,Legacy Housing Corporation,610.04M,0.72%,138568,230.98M
319,PACK,Ranpak Holdings Corp.,607.15M,2.18%,1508896,325.30M
320,SDA,SunCar Technology Group Inc.,597.35M,1.77%,323051,317.06M
321,BH,Biglari Holdings Inc.,587.45M,6.85%,8115,365.32M
322,CHUY,"Chuy's Holdings, Inc.",582.63M,1.05%,280230,461.31M
323,KRT,Karat Packaging Inc.,577.17M,-10.31%,207289,402.74M
324,MOV,"Movado Group, Inc.",575.18M,2.34%,482075,687.25M
325,WOOF,"Petco Health and Wellness Company, Inc.",551.45M,2.43%,6758469,6.16B
326,HSAI,Hesai Group,551.10M,5.69%,897268,264.74M
327,TAST,"Carrols Restaurant Group, Inc.",544.01M,-,765093,1.88B
328,MLR,"Miller Industries, Inc.",542.41M,0.76%,71028,1.15B
329,LQDT,"Liquidity Services, Inc.",541.89M,1.65%,241750,313.51M
330,PLOW,"Douglas Dynamics, Inc.",530.24M,1.16%,476163,568.18M
331,SES,SES AI Corporation,525.35M,2.70%,509669,-
332,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,521.60M,1.87%,132037,907.59M
333,RICK,"RCI Hospitality Holdings, Inc.",508.23M,0.31%,70808,297.73M
334,HVT,"Haverty Furniture Companies, Inc.",507.37M,1.48%,208427,862.13M
335,QRTEA,"Qurate Retail, Inc.",502.81M,-0.84%,8227430,10.92B
336,HVT.A,"Haverty Furniture Companies, Inc.",502.67M,-0.61%,4,862.13M
337,HLLY,Holley Inc.,500.15M,-2.14%,448016,659.70M
338,QRTEB,"Qurate Retail, Inc.",472.08M,-6.90%,9177,10.92B
339,DENN,Denny's Corporation,466.63M,-0.11%,558469,463.92M
