,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
216,STRL,"Sterling Infrastructure, Inc.",3.36B,-1.03%,482107,1.97B
217,KFY,Korn Ferry,3.30B,0.41%,1038843,2.83B
218,REZI,"Resideo Technologies, Inc.",3.29B,0.04%,2508740,6.24B
219,ENOV,Enovis Corporation,3.27B,-0.88%,276791,1.71B
220,HI,"Hillenbrand, Inc.",3.26B,3.55%,375921,2.94B
221,NPO,"EnPro Industries, Inc.",3.24B,0.74%,83246,1.06B
222,JBT,John Bean Technologies Corporation,3.22B,0.61%,147946,1.66B
223,CRS,Carpenter Technology Corporation,3.20B,1.96%,602932,2.72B
224,WOR,"Worthington Industries, Inc.",3.15B,3.02%,988909,4.61B
225,UNF,UniFirst Corporation,3.14B,1.28%,69747,2.28B
226,SEB,Seaboard Corporation,3.14B,-1.19%,19172,9.56B
227,ARCB,ArcBest Corporation,3.04B,-0.50%,494633,4.43B
228,HAYW,"Hayward Holdings, Inc.",3.04B,0.07%,553378,992.45M
229,MGRC,McGrath RentCorp,2.92B,0.30%,338712,831.84M
230,DOOR,Masonite International Corporation,2.87B,-0.23%,520370,2.83B
231,ICFI,"ICF International, Inc.",2.85B,0.49%,123107,1.96B
232,BRC,Brady Corporation,2.79B,1.37%,1791038,1.34B
233,ROAD,"Construction Partners, Inc.",2.76B,-1.68%,411526,1.62B
234,SKYW,"SkyWest, Inc.",2.66B,0.32%,2837273,2.94B
235,ABM,ABM Industries Incorporated,2.64B,1.49%,1840308,8.17B
236,HUBG,"Hub Group, Inc.",2.60B,-0.22%,998999,4.20B
237,KTOS,"Kratos Defense & Security Solutions, Inc.",2.59B,-1.61%,2489301,1.04B
238,GOGL,Golden Ocean Group Limited,2.58B,-0.70%,4473794,885.77M
239,MYRG,MYR Group Inc.,2.57B,2.49%,276154,3.64B
240,LZ,"LegalZoom.com, Inc.",2.50B,-2.03%,2518572,660.73M
241,ALG,Alamo Group Inc.,2.46B,0.42%,109392,1.69B
242,JBLU,JetBlue Airways Corporation,2.44B,-2.09%,10642651,9.62B
243,MWA,"Mueller Water Products, Inc.",2.42B,-0.39%,730592,1.22B
244,PGTI,"PGT Innovations, Inc.",2.40B,-0.10%,1006406,1.50B
245,WERN,"Werner Enterprises, Inc.",2.39B,-0.68%,752642,3.28B
246,GVA,Granite Construction Incorporated,2.39B,-,341520,3.51B
247,RXO,"RXO, Inc.",2.37B,-1.68%,459780,3.93B
248,FA,First Advantage Corporation,2.32B,-0.81%,645003,763.76M
249,HTZ,"Hertz Global Holdings, Inc.",2.29B,1.20%,3995550,9.37B
250,PLUG,Plug Power Inc.,2.29B,-0.30%,24828461,891.34M
251,AIR,AAR Corp.,2.28B,-2.27%,328961,2.17B
252,ROCK,"Gibraltar Industries, Inc.",2.27B,2.86%,601485,1.38B
253,MIR,"Mirion Technologies, Inc.",2.25B,3.62%,1116867,800.90M
254,ATMU,Atmus Filtration Technologies Inc.,2.20B,-1.06%,5322818,1.63B
255,PRIM,Primoris Services Corporation,2.17B,0.50%,535814,5.72B
256,JBI,"Janus International Group, Inc.",2.13B,1.38%,684982,1.07B
257,SXI,Standex International Corporation,2.12B,0.95%,52574,735.83M
258,TNC,Tennant Company,2.09B,1.79%,122816,1.24B
259,TRN,"Trinity Industries, Inc.",2.08B,2.00%,1664072,2.98B
260,IESC,"IES Holdings, Inc.",2.06B,0.43%,199982,2.44B
261,HEES,"H&E Equipment Services, Inc.",2.05B,2.86%,422261,1.47B
262,ENR,"Energizer Holdings, Inc.",2.04B,-1.02%,437726,2.91B
263,RKLB,"Rocket Lab USA, Inc.",2.04B,-1.20%,13662038,244.59M
264,BE,Bloom Energy Corporation,2.03B,2.55%,4884515,1.33B
265,HNI,HNI Corporation,2.02B,1.30%,329522,2.43B
266,SBLK,Star Bulk Carriers Corp.,2.00B,-0.46%,1660917,949.27M
267,KMT,Kennametal Inc.,1.98B,-0.37%,567973,2.07B
268,POWL,"Powell Industries, Inc.",1.95B,-1.05%,1010829,766.47M
269,HLMN,Hillman Solutions Corp.,1.90B,1.44%,1360990,1.48B
270,UP,Wheels Up Experience Inc.,1.90B,-2.21%,1439943,1.25B
